"","edad_gama","Fecha","ingresos","trend"
"847","35-50",Apr 2017,1561.46162313833,1570.0801138599
"849","35-50",May 2017,1557.51155321148,1573.4280293009
"851","35-50",Jun 2017,1563.63273630278,1576.33675219303
"853","35-50",Jul 2017,1571.87916209118,1578.30471761415
"855","35-50",Aug 2017,1571.47987172423,1580.34679486494
"857","35-50",Sep 2017,1639.96042382723,1583.71729213235
"859","35-50",Oct 2017,1562.86840436453,1587.17971884655
"861","35-50",Nov 2017,1570.4316959033,1589.4575461011
"863","35-50",Dec 2017,1671.05870306927,1591.14317343947
"865","35-50",Jan 2018,1590.44326517589,1592.70054348004
"867","35-50",Feb 2018,1564.67069211341,1594.05780755556
"869","35-50",Mar 2018,1605.45994529101,1595.61699511696
"871","35-50",Apr 2018,1592.05872303014,1597.75798117972
"873","35-50",May 2018,1581.58230742893,1599.55444182516
"875","35-50",Jun 2018,1580.01703820627,1601.56350537714
"877","35-50",Jul 2018,1592.87174116138,1603.83592008779
"879","35-50",Aug 2018,1583.06163046652,1605.73836906947
"881","35-50",Sep 2018,1665.79916655848,1607.22240784593
"883","35-50",Oct 2018,1588.41332713962,1608.61426090157
"885","35-50",Nov 2018,1588.00182861878,1610.22043190982
"887","35-50",Dec 2018,1701.70609560119,1611.83512248599
"889","35-50",Jan 2019,1614.33382569953,1613.26728679595
"891","35-50",Feb 2019,1586.43890715018,1614.54129119717
"893","35-50",Mar 2019,1619.30866088939,1615.74386494689
"895","35-50",Apr 2019,1611.61448076703,1616.32768618037
"897","35-50",May 2019,1600.57465389001,1616.72738467713
"899","35-50",Jun 2019,1599.77726557336,1617.38912343386
"901","35-50",Jul 2019,1607.48345723335,1617.74876964447
"903","35-50",Aug 2019,1599.02602002383,1617.95624278921
"905","35-50",Sep 2019,1678.69654699444,1618.33602952123
"907","35-50",Oct 2019,1589.527656307,1617.69850751902
"909","35-50",Nov 2019,1596.48026337382,1617.39868916948
"911","35-50",Dec 2019,1709.10939100767,1619.16750842218
"913","35-50",Jan 2020,1615.56203934754,1621.79225450606
"915","35-50",Feb 2020,1590.19004897589,1624.4342959745
"917","35-50",Mar 2020,1624.67240063223,1626.37117612811
"919","35-50",Apr 2020,1590.95021297115,1627.10403951687
"921","35-50",May 2020,1614.043281297,1627.26472708487
"923","35-50",Jun 2020,1628.76030023111,1627.34012557163
"925","35-50",Jul 2020,1641.49432858886,1626.65128100374
"927","35-50",Aug 2020,1628.42414391085,1625.91421782154
"929","35-50",Sep 2020,1695.78354679391,1625.87997728131
"931","35-50",Oct 2020,1590.02937783777,1626.8241900932
"933","35-50",Nov 2020,1599.83504347521,1627.56183875376
"935","35-50",Dec 2020,1707.56417458848,1627.35783750882
"937","35-50",Jan 2021,1600.5749861374,1627.31884378273
"939","35-50",Feb 2021,1587.48758581307,1626.73437098002
"941","35-50",Mar 2021,1626.55309082953,1625.0065505562
"943","35-50",Apr 2021,1611.73063025922,1623.84473968538
"945","35-50",May 2021,1610.96643186246,1623.41219303125
"947","35-50",Jun 2021,1626.94111978702,1622.87692438713
"949","35-50",Jul 2021,1642.37765960675,1622.61991660596
"951","35-50",Aug 2021,1613.5134656281,1622.21079441186
"953","35-50",Sep 2021,1669.22653490483,1620.53991899606
"955","35-50",Oct 2021,1588.70292882721,1617.245481183
"957","35-50",Nov 2021,1590.78037278655,1613.54677640504
"959","35-50",Dec 2021,1703.77239781829,1609.40160540437
"961","35-50",Jan 2022,1598.19857615952,1603.98426260973
