"","edad_gama","quintil","Sexo","Fecha","ingresos","trend","base","perc_change2010"
"9290","35-50","iv","hombre",Feb 2022,1790.13689195713,1818.91667846511,1194.37529149511,52.2902132535078
"9292","35-50","iv","hombre",Mar 2022,1822.61646410624,1818.14822627496,1194.37529149511,52.2258739963558
"9294","35-50","iv","hombre",Apr 2022,1794.19280456366,1817.97330371107,1194.37529149511,52.2112284686781
"9296","35-50","iv","hombre",May 2022,1794.46162739308,1817.8470573368,1194.37529149511,52.2006583928264
"9298","35-50","iv","hombre",Jun 2022,1776.23092338509,1816.79229942721,1194.37529149511,52.1123479666893
"9300","35-50","iv","hombre",Jul 2022,1792.66365246108,1816.12794426302,1194.37529149511,52.0567243139796
"9302","35-50","iv","hombre",Aug 2022,1775.80140343673,1816.3021792104,1194.37529149511,52.0713122704303
"9304","35-50","iv","hombre",Sep 2022,1883.86703053416,1816.5184507847,1194.37529149511,52.0894197761566
"9306","35-50","iv","hombre",Oct 2022,1778.47958627989,1818.19879916553,1194.37529149511,52.2301082509435
"9308","35-50","iv","hombre",Nov 2022,1789.34736052914,1822.36767826325,1194.37529149511,52.5791508950272
"9310","35-50","iv","hombre",Dec 2022,1960.39254208034,1827.57320817967,1194.37529149511,53.0149879349836
"9312","35-50","iv","hombre",Jan 2023,1834.77477949999,1832.70497327425,1194.37529149511,53.4446489578734
"9314","35-50","iv","hombre",Feb 2023,1795.45906055358,1838.70543831871,1194.37529149511,53.9470425595478
"9316","35-50","iv","hombre",Mar 2023,1822.48481329304,1845.78189174786,1194.37529149511,54.5395241253958
"9318","35-50","iv","hombre",Apr 2023,1834.65281651693,1853.24240913478,1194.37529149511,55.1641617447477
"9320","35-50","iv","hombre",May 2023,1854.054713785,1860.4112912901,1194.37529149511,55.764381977565
"9322","35-50","iv","hombre",Jun 2023,1841.57055498733,1867.83127122612,1194.37529149511,56.3856255673185
"9324","35-50","iv","hombre",Jul 2023,1850.48638312877,1875.20859860561,1194.37529149511,57.0032980386115
"9326","35-50","iv","hombre",Aug 2023,1861.98983383586,1880.99094994834,1194.37529149511,57.4874299010088
"9328","35-50","iv","hombre",Sep 2023,1967.51348243467,1886.81612551131,1194.37529149511,57.9751472545456
"9343","35-50","v","mujer",Apr 2003,1448.91259313137,1436.31188542356,NA,NA
"9345","35-50","v","mujer",May 2003,1568.70053926371,1504.60385216541,NA,NA
"9347","35-50","v","mujer",Jun 2003,1683.18176234536,1561.72356730742,NA,NA
"9349","35-50","v","mujer",Jul 2003,1736.90873300836,1613.71470161552,NA,NA
"9351","35-50","v","mujer",Aug 2003,1794.42338155811,1662.6180369371,NA,NA
"9353","35-50","v","mujer",Sep 2003,1843.28672439825,1707.39655201467,NA,NA
"9355","35-50","v","mujer",Oct 2003,1717.16372115483,1747.45680158182,NA,NA
"9357","35-50","v","mujer",Nov 2003,1678.7463889939,1782.23688856536,NA,NA
"9359","35-50","v","mujer",Dec 2003,1791.86196426603,1810.27871470495,NA,NA
"9361","35-50","v","mujer",Jan 2004,1859.46502513186,1830.74291561913,NA,NA
"9363","35-50","v","mujer",Feb 2004,1812.5346240776,1846.39477947041,NA,NA
"9365","35-50","v","mujer",Mar 2004,1813.7178858095,1861.59200256978,NA,NA
"9367","35-50","v","mujer",Apr 2004,1890.06914481738,1877.58697873842,NA,NA
"9369","35-50","v","mujer",May 2004,1962.26607518246,1893.72875115339,NA,NA
"9371","35-50","v","mujer",Jun 2004,1962.62005377694,1911.36476433953,NA,NA
"9373","35-50","v","mujer",Jul 2004,1948.61126351701,1928.95654067438,NA,NA
"9375","35-50","v","mujer",Aug 2004,1958.36558348012,1948.19900759612,NA,NA
"9377","35-50","v","mujer",Sep 2004,2044.07787686121,1967.94789840896,NA,NA
"9379","35-50","v","mujer",Oct 2004,1900.25199673927,1985.9557250158,NA,NA
"9381","35-50","v","mujer",Nov 2004,1883.06065136869,2000.29635865679,NA,NA
"9383","35-50","v","mujer",Dec 2004,2010.81201835867,2015.73181598216,NA,NA
"9385","35-50","v","mujer",Jan 2005,2062.7176030756,2036.69532641778,NA,NA
"9387","35-50","v","mujer",Feb 2005,2071.10125225566,2058.73576671146,NA,NA
"9389","35-50","v","mujer",Mar 2005,2029.12463713952,2079.0427849606,NA,NA
"9391","35-50","v","mujer",Apr 2005,2106.85023205154,2099.28920104961,NA,NA
"9393","35-50","v","mujer",May 2005,2089.66019533207,2118.26367578665,NA,NA
"9395","35-50","v","mujer",Jun 2005,2205.67690943619,2134.24136586179,NA,NA
"9397","35-50","v","mujer",Jul 2005,2208.67865831255,2146.86214210257,NA,NA
"9399","35-50","v","mujer",Aug 2005,2227.26875573303,2151.52386206691,NA,NA
"9401","35-50","v","mujer",Sep 2005,2262.54314258758,2153.45601679115,NA,NA
"9403","35-50","v","mujer",Oct 2005,2167.70071714904,2159.58122130119,NA,NA
"9405","35-50","v","mujer",Nov 2005,2070.99932464792,2169.77679683524,NA,NA
"9407","35-50","v","mujer",Dec 2005,2206.33790688298,2179.57056557093,NA,NA
"9409","35-50","v","mujer",Jan 2006,2170.09034432992,2186.32867355096,NA,NA
"9411","35-50","v","mujer",Feb 2006,2075.60979014561,2192.70780001443,NA,NA
"9413","35-50","v","mujer",Mar 2006,2070.98781263132,2203.69978352451,NA,NA
"9415","35-50","v","mujer",Apr 2006,2211.99196480057,2215.27863050107,NA,NA
"9417","35-50","v","mujer",May 2006,2229.21227540023,2227.83304334644,NA,NA
"9419","35-50","v","mujer",Jun 2006,2301.17527902462,2245.21688472988,NA,NA
"9421","35-50","v","mujer",Jul 2006,2275.37488024486,2265.43295312861,NA,NA
"9423","35-50","v","mujer",Aug 2006,2313.67156892411,2290.85151397158,NA,NA
"9425","35-50","v","mujer",Sep 2006,2439.94793363835,2318.08325059822,NA,NA
"9427","35-50","v","mujer",Oct 2006,2268.1882535356,2340.93909735848,NA,NA
"9429","35-50","v","mujer",Nov 2006,2271.81769655036,2360.82599695206,NA,NA
"9431","35-50","v","mujer",Dec 2006,2422.73172818301,2378.48714008009,NA,NA
"9433","35-50","v","mujer",Jan 2007,2438.88216459939,2395.19641175955,NA,NA
"9435","35-50","v","mujer",Feb 2007,2416.86343010742,2412.97376671539,NA,NA
"9437","35-50","v","mujer",Mar 2007,2383.29585170889,2426.31530906919,NA,NA
"9439","35-50","v","mujer",Apr 2007,2448.22424796922,2437.92416687227,NA,NA
"9441","35-50","v","mujer",May 2007,2470.26558247769,2449.42630930941,NA,NA
"9443","35-50","v","mujer",Jun 2007,2483.9894070198,2460.73584131373,NA,NA
"9445","35-50","v","mujer",Jul 2007,2493.58327255671,2473.15916959798,NA,NA
"9447","35-50","v","mujer",Aug 2007,2522.11969555233,2483.42190081988,NA,NA
"9449","35-50","v","mujer",Sep 2007,2551.6968235013,2493.22867047564,NA,NA
"9451","35-50","v","mujer",Oct 2007,2435.05195094655,2501.26330980665,NA,NA
"9453","35-50","v","mujer",Nov 2007,2381.0054176309,2509.63098803797,NA,NA
"9455","35-50","v","mujer",Dec 2007,2584.97277520602,2519.28776571687,NA,NA
"9457","35-50","v","mujer",Jan 2008,2574.80099639844,2526.82445835768,NA,NA
"9459","35-50","v","mujer",Feb 2008,2527.250147634,2532.68685996009,NA,NA
"9461","35-50","v","mujer",Mar 2008,2508.27160592048,2540.5827241013,NA,NA
"9463","35-50","v","mujer",Apr 2008,2516.07983770199,2548.65445584272,NA,NA
"9465","35-50","v","mujer",May 2008,2603.23427029659,2556.52180481597,NA,NA
