"","Fecha","quintil","ingresos","trend","base","perc_change"
"1385",Jul 2014,3,653.286896453344,652.701290742558,615.113409283463,6.11072379366287
"1387",Jul 2014,4,958.107727165808,959.231161701765,917.7147187891,4.52389419747399
"1389",Jul 2014,5,1922.01797427257,1915.88601975363,1921.91829528103,-0.313867428298581
"1391",Aug 2014,1,264.971996532557,250.132922570505,235.74477272491,6.1032741804989
"1393",Aug 2014,2,466.308831541714,457.031707022034,426.811935859282,7.08034818705613
"1395",Aug 2014,3,658.346640910687,653.109927396245,615.113409283463,6.17715652745144
"1397",Aug 2014,4,961.657033601079,959.450655049592,917.7147187891,4.54781158087577
"1399",Aug 2014,5,1919.75335651053,1915.18728809725,1921.91829528103,-0.350223378397746
"1401",Sep 2014,1,259.797627771273,250.174854611676,235.74477272491,6.12106123074221
"1403",Sep 2014,2,481.713893919129,457.529400249084,426.811935859282,7.1969553353656
"1405",Sep 2014,3,701.503167704594,653.766984730843,615.113409283463,6.28397542046871
"1407",Sep 2014,4,1029.95992222208,959.801394013951,917.7147187891,4.58603031673974
"1409",Sep 2014,5,2021.69573878087,1914.21936465288,1921.91829528103,-0.400585740145697
"1411",Oct 2014,1,261.037823642576,250.298520734101,235.74477272491,6.1735188615078
"1413",Oct 2014,2,458.102818469947,458.291826523652,426.811935859282,7.37558817351089
"1415",Oct 2014,3,647.724725557147,654.600385752174,615.113409283463,6.41946279706513
"1417",Oct 2014,4,954.89026094719,960.520382865825,917.7147187891,4.66437588940559
"1419",Oct 2014,5,1903.47523330937,1913.6655455563,1921.91829528103,-0.429401694390081
"1421",Nov 2014,1,253.044263841383,250.740167029127,235.74477272491,6.36085972591852
"1423",Nov 2014,2,459.65007620522,459.154670366912,426.811935859282,7.57774836884899
"1425",Nov 2014,3,653.904364749083,655.2521423459,615.113409283463,6.52541993990904
"1427",Nov 2014,4,965.892960390128,961.139696114063,917.7147187891,4.73186017788415
"1429",Nov 2014,5,1950.35504477712,1913.26554124671,1921.91829528103,-0.450214457896926
"1431",Dec 2014,1,255.872958127348,251.42272061912,235.74477272491,6.65039046804417
"1433",Dec 2014,2,486.452378246457,460.147498076325,426.811935859282,7.81036316379727
"1435",Dec 2014,3,724.904986430992,655.795233009676,615.113409283463,6.61371108355497
"1437",Dec 2014,4,1080.5058326156,961.264827824626,917.7147187891,4.74549532048356
"1439",Dec 2014,5,2165.98154666216,1912.09523422584,1921.91829528103,-0.511107109980141
"1441",Jan 2015,1,237.791544888324,252.036255393884,235.74477272491,6.91064428732188
"1443",Jan 2015,2,448.096648961718,461.171518525949,426.811935859282,8.05028626893775
"1445",Jan 2015,3,634.06641192615,656.443473301088,615.113409283463,6.7190965753405
"1447",Jan 2015,4,925.198851752247,961.417045315115,917.7147187891,4.76208190097232
"1449",Jan 2015,5,1837.43057653481,1910.46050449798,1921.91829528103,-0.596164301634368
"1451",Feb 2015,1,243.94704777902,252.320424653894,235.74477272491,7.03118535244331
"1453",Feb 2015,2,448.000545394045,461.774392174618,426.811935859282,8.1915366881545
"1455",Feb 2015,3,631.697706458332,656.605613226545,615.113409283463,6.74545593005626
"1457",Feb 2015,4,915.803651664579,961.177219190462,917.7147187891,4.73594892960954
"1459",Feb 2015,5,1814.7675756569,1908.38197654305,1921.91829528103,-0.704312913364311
"1461",Mar 2015,1,235.539270053677,252.510413715358,235.74477272491,7.11177634891292
"1463",Mar 2015,2,448.542728098005,462.033951327603,426.811935859282,8.25235015918904
"1465",Mar 2015,3,636.161350543774,656.399820141976,615.113409283463,6.71199980936974
"1467",Mar 2015,4,926.984291793557,960.335382409132,917.7147187891,4.64421706957782
"1469",Mar 2015,5,1845.44886740053,1905.57465050994,1921.91829528103,-0.850381871654982
"1471",Apr 2015,1,241.096109973748,252.856417721106,235.74477272491,7.25854694397152
"1473",Apr 2015,2,455.476865205727,462.670373730557,426.811935859282,8.40146089145396
"1475",Apr 2015,3,644.517765962543,656.726668511156,615.113409283463,6.76513608704579
"1477",Apr 2015,4,941.532515922558,959.848553072382,917.7147187891,4.59116906601174
"1479",Apr 2015,5,1865.86294977434,1903.51731158102,1921.91829528103,-0.957427989794702
"1481",May 2015,1,253.720489244455,253.239560494936,235.74477272491,7.42107134245608
"1483",May 2015,2,457.019862864385,463.47849883909,426.811935859282,8.59080074834093
"1485",May 2015,3,643.132408907096,657.315038310022,615.113409283463,6.86078833425516
"1487",May 2015,4,934.60939388971,959.720956208542,917.7147187891,4.57726530471995
"1489",May 2015,5,1835.96883195104,1901.62034819104,1921.91829528103,-1.0561295524285
"1491",Jun 2015,1,253.952974439685,253.745088838378,235.74477272491,7.63551017713251
"1493",Jun 2015,2,456.520396325405,464.108807164958,426.811935859282,8.73847898151863
"1495",Jun 2015,3,644.290435523455,657.569447961192,615.113409283463,6.90214813024243
"1497",Jun 2015,4,940.09772107513,959.033222857384,917.7147187891,4.50232552909276
"1499",Jun 2015,5,1854.32132465014,1897.11394765997,1921.91829528103,-1.29060364751004
"1501",Jul 2015,1,267.665794405101,254.376265248993,235.74477272491,7.90324735888191
"1503",Jul 2015,2,473.99141157533,464.973376514202,426.811935859282,8.94104345467555
"1505",Jul 2015,3,660.85653342506,657.639290262769,615.113409283463,6.91350250823562
"1507",Jul 2015,4,961.636488649239,958.287066008014,917.7147187891,4.42101955959126
"1509",Jul 2015,5,1898.91204166344,1893.29418848427,1921.91829528103,-1.489350867154
"1511",Aug 2015,1,263.786386827731,254.952187792322,235.74477272491,8.14754653746902
"1513",Aug 2015,2,469.141330118373,466.092076667796,426.811935859282,9.20314956268346
"1515",Aug 2015,3,654.668362149951,657.778814842604,615.113409283463,6.93618524896759
"1517",Aug 2015,4,952.372445125971,958.000836475508,917.7147187891,4.38983017942264
"1519",Aug 2015,5,1892.97461820132,1891.02620906501,1921.91829528103,-1.60735689398843
